yields.id,genus,species,sitename,lat,lon,fertilizer_n,irrigated,planting_year,year,stand_age,planting_density,yield
1103,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.6
1104,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,5.4
1105,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,14.2
1106,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.8
1107,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,11.4
1108,Miscanthus,Miscanthus sinensis Hybrid,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,20.5
1109,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.4
1110,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,5.2
1111,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,15.4
1112,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.2
1113,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,5
1114,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,15.3
1115,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.2
1116,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,6.7
1117,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,17.3
1118,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.4
1119,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,3.9
1120,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,13.8
1121,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,11/12/1997,0,20000,0.3
1122,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,11/24/1998,1,20000,3.1
1123,Miscanthus,Miscanthus sinensis,Kristianstad,56,14,60,TRUE,1997,10/18/1999,2,20000,9.7
1124,Miscanthus,Miscanthus x giganteus,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.7
