"yields.id","genus","species","lat","lon","fertilizer_n","planting_date","planting_density","year","yield","irrigated"
1196,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1997,0.8,TRUE
1197,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1998,6,TRUE
1198,"Miscanthus","Miscanthus sinensis Hybrid",51.8,-0.35,60,1997,"20000",1999,14,TRUE
1199,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1997,0.1,TRUE
1200,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1998,1.9,TRUE
1201,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1999,8,TRUE
1202,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1997,0.1,TRUE
1203,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1998,2,TRUE
1204,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1999,7,TRUE
1205,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1997,0.2,TRUE
1206,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1998,3,TRUE
1207,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1999,10.9,TRUE
1208,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1997,0.1,TRUE
1209,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1998,0.6,TRUE
1210,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1999,4.6,TRUE
1211,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1997,0.2,TRUE
1212,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1998,2,TRUE
1213,"Miscanthus","Miscanthus sinensis",51.8,-0.35,60,1997,"20000",1999,5.9,TRUE
1214,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1997,3.2,TRUE
1215,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1998,8,TRUE
1216,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1997,22.8,TRUE
1217,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1997,3.4,TRUE
1218,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1998,8.7,TRUE
1219,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1997,24.3,TRUE
1220,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1997,3.3,TRUE
1221,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1998,8.9,TRUE
1222,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1997,25.7,TRUE
1223,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1997,3,TRUE
1224,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1998,8.1,TRUE
1225,"Miscanthus","Miscanthus x giganteus",48.67,9,60,1996,"20000",1997,29.1,TRUE
1226,"Miscanthus","Miscanthus sacchariflorus",48.67,9,60,1996,"20000",1997,2.9,TRUE
1227,"Miscanthus","Miscanthus sacchariflorus",48.67,9,60,1996,"20000",1998,4.6,TRUE
1228,"Miscanthus","Miscanthus sacchariflorus",48.67,9,60,1996,"20000",1997,12.6,TRUE
1229,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1997,2.8,TRUE
1230,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1998,7.4,TRUE
1231,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1997,20,TRUE
1232,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1997,1.1,TRUE
1233,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1998,3.6,TRUE
1234,"Miscanthus","Miscanthus sinensis Hybrid",48.67,9,60,1996,"20000",1997,17,TRUE
